team,player,category,FUM,LOST,REC
PIT,Aaron Rodgers,fumbles,4,1,2
PIT,Ben Skowronek,fumbles,0,0,1
PIT,Brandin Echols,fumbles,0,0,1
PIT,Broderick Jones,fumbles,0,0,1
PIT,Darius Slay,fumbles,0,0,1
PIT,Darnell Washington,fumbles,2,1,0
PIT,Derrick Harmon,fumbles,0,0,1
PIT,Dylan Cook,fumbles,0,0,1
PIT,Jabrill Peppers,fumbles,0,0,1
PIT,James Pierre,fumbles,0,0,1
PIT,Jaylen Warren,fumbles,1,0,0
PIT,Jonnu Smith,fumbles,1,0,1
PIT,Juan Thornhill,fumbles,0,0,1
PIT,Kaleb Johnson,fumbles,1,0,0
PIT,Ke'Shawn Williams,fumbles,2,1,0
PIT,Kenny Gainwell,fumbles,2,1,1
PIT,Marquez Valdes-Scantling,fumbles,1,0,1
PIT,Mason Rudolph,fumbles,1,1,0
PIT,Nick Herbig,fumbles,0,0,1
PIT,Patrick Queen,fumbles,0,0,1
PIT,Payton Wilson,fumbles,0,0,1
PIT,Roman Wilson,fumbles,1,1,0
PIT,T.J. Watt,fumbles,0,0,2
PIT,Yahya Black,fumbles,0,0,1
PIT,Zach Frazier,fumbles,1,0,0
